Accuracy,precision,recall,f1_score
0.94,0.942,0.94,0.94
0.967,0.968,0.967,0.967
0.921,0.923,0.921,0.921
0.938,0.946,0.938,0.939
0.938,0.946,0.938,0.939
0.938,0.946,0.938,0.939
