Accuracy,precision,recall,f1_score
0.88,0.884,0.88,0.879
0.837,0.841,0.837,0.836
0.914,0.915,0.914,0.914
0.943,0.948,0.943,0.943
0.801,0.8,0.801,0.797
0.962,0.962,0.962,0.961
