Accuracy,precision,recall,f1_score
0.94,0.938,0.94,0.938
0.967,0.965,0.967,0.965
0.921,0.922,0.922,0.922
0.938,0.946,0.936,0.938
0.938,0.946,0.936,0.938
0.938,0.946,0.936,0.938
